#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E082,DS8000:2107.BWN81:VOL:DC82,DS8000:2107.BWN81:VOL:DD82
DS8000:2107.BWP21:VOL:E083,DS8000:2107.BWN81:VOL:DC83,DS8000:2107.BWN81:VOL:DD83
DS8000:2107.BWP21:VOL:E084,DS8000:2107.BWN81:VOL:DC84,DS8000:2107.BWN81:VOL:DD84
DS8000:2107.BWP21:VOL:E085,DS8000:2107.BWN81:VOL:DC85,DS8000:2107.BWN81:VOL:DD85
DS8000:2107.BWP21:VOL:E086,DS8000:2107.BWN81:VOL:DC86,DS8000:2107.BWN81:VOL:DD86
DS8000:2107.BWP21:VOL:E087,DS8000:2107.BWN81:VOL:DC87,DS8000:2107.BWN81:VOL:DD87
DS8000:2107.BWP21:VOL:E088,DS8000:2107.BWN81:VOL:DC88,DS8000:2107.BWN81:VOL:DD88
DS8000:2107.BWP21:VOL:E089,DS8000:2107.BWN81:VOL:DC89,DS8000:2107.BWN81:VOL:DD89
DS8000:2107.BWP21:VOL:E08A,DS8000:2107.BWN81:VOL:DC8A,DS8000:2107.BWN81:VOL:DD8A
DS8000:2107.BWP21:VOL:E08B,DS8000:2107.BWN81:VOL:DC8B,DS8000:2107.BWN81:VOL:DD8B
DS8000:2107.BWP21:VOL:E08C,DS8000:2107.BWN81:VOL:DC8C,DS8000:2107.BWN81:VOL:DD8C
DS8000:2107.BWP21:VOL:E08D,DS8000:2107.BWN81:VOL:DC8D,DS8000:2107.BWN81:VOL:DD8D
DS8000:2107.BWP21:VOL:E08E,DS8000:2107.BWN81:VOL:DC8E,DS8000:2107.BWN81:VOL:DD8E
DS8000:2107.BWP21:VOL:E08F,DS8000:2107.BWN81:VOL:DC8F,DS8000:2107.BWN81:VOL:DD8F
DS8000:2107.BWP21:VOL:E090,DS8000:2107.BWN81:VOL:DC90,DS8000:2107.BWN81:VOL:DD90
DS8000:2107.BWP21:VOL:E091,DS8000:2107.BWN81:VOL:DC91,DS8000:2107.BWN81:VOL:DD91
DS8000:2107.BWP21:VOL:E092,DS8000:2107.BWN81:VOL:DC92,DS8000:2107.BWN81:VOL:DD92
DS8000:2107.BWP21:VOL:E093,DS8000:2107.BWN81:VOL:DC93,DS8000:2107.BWN81:VOL:DD93
DS8000:2107.BWP21:VOL:E094,DS8000:2107.BWN81:VOL:DC94,DS8000:2107.BWN81:VOL:DD94
DS8000:2107.BWP21:VOL:E095,DS8000:2107.BWN81:VOL:DC95,DS8000:2107.BWN81:VOL:DD95
DS8000:2107.BWP21:VOL:E096,DS8000:2107.BWN81:VOL:DC96,DS8000:2107.BWN81:VOL:DD96
DS8000:2107.BWP21:VOL:E097,DS8000:2107.BWN81:VOL:DC97,DS8000:2107.BWN81:VOL:DD97
DS8000:2107.BWP21:VOL:E098,DS8000:2107.BWN81:VOL:DC98,DS8000:2107.BWN81:VOL:DD98
DS8000:2107.BWP21:VOL:E099,DS8000:2107.BWN81:VOL:DC99,DS8000:2107.BWN81:VOL:DD99
DS8000:2107.BWP21:VOL:E09A,DS8000:2107.BWN81:VOL:DC9A,DS8000:2107.BWN81:VOL:DD9A
